"region_size","c_off","lower_lim","upper_lim"
4096,0.54,56,60
4096,0.55,54,62
4096,0.56,53,64
4096,0.57,52,65
4096,0.58,51,67
4096,0.59,51,68
4096,0.6,50,70
4096,0.61,49,71
4096,0.62,49,72
4096,0.63,48,74
4096,0.64,48,75
4096,0.65,47,76
4096,0.66,47,78
4096,0.67,46,79
4096,0.68,46,81
4096,0.69,45,82
4096,0.7,45,84
4096,0.71,44,85
4096,0.72,44,87
4096,0.73,43,89
4096,0.74,43,91
4096,0.75,43,93
4096,0.76,42,96
4096,0.77,42,98
4096,0.78,41,100
4096,0.79,41,103
4096,0.8,40,106
4096,0.81,40,110
4096,0.82,39,113
4096,0.83,39,117
4096,0.84,39,120
4096,0.85,38,125
4096,0.86,38,130
4096,0.87,37,134
4096,0.88,37,140
4096,0.89,36,147
4096,0.9,35,154
4096,0.91,35,161
4096,0.92,34,171
4096,0.93,34,181
4096,0.94,33,193
4096,0.95,32,208
4096,0.96,31,230
4096,0.97,30,254
4096,0.98,29,298
4096,0.99,27,396
8192,0.51,84,87
8192,0.52,81,92
8192,0.53,79,94
8192,0.54,78,96
8192,0.55,77,98
8192,0.56,76,99
8192,0.57,75,101
8192,0.58,74,103
8192,0.59,73,105
8192,0.6,73,107
8192,0.61,72,109
8192,0.62,71,111
8192,0.63,71,113
8192,0.64,70,115
8192,0.65,69,117
8192,0.66,69,119
8192,0.67,68,121
8192,0.68,68,123
8192,0.69,67,127
8192,0.7,67,129
8192,0.71,66,132
8192,0.72,66,135
8192,0.73,65,138
8192,0.74,65,142
8192,0.75,64,145
8192,0.76,63,149
8192,0.77,63,153
8192,0.78,62,158
8192,0.79,62,162
8192,0.8,61,167
8192,0.81,61,173
8192,0.82,60,178
8192,0.83,60,184
8192,0.84,59,189
8192,0.85,58,195
8192,0.86,58,202
8192,0.87,57,210
8192,0.88,56,219
8192,0.89,56,230
8192,0.9,55,240
8192,0.91,54,250
8192,0.92,53,263
8192,0.93,52,281
8192,0.94,52,298
8192,0.95,50,322
8192,0.96,49,349
8192,0.97,48,382
8192,0.98,46,446
8192,0.99,43,579
16384,0.47,130,135
16384,0.48,125,140
16384,0.49,123,144
16384,0.5,121,147
16384,0.51,119,150
16384,0.52,118,153
16384,0.53,116,156
16384,0.54,115,159
16384,0.55,114,161
16384,0.56,112,164
16384,0.57,111,166
16384,0.58,110,169
16384,0.59,109,172
16384,0.6,109,175
16384,0.61,108,179
16384,0.62,107,182
16384,0.63,106,187
16384,0.64,105,191
16384,0.65,104,194
16384,0.66,103,199
16384,0.67,103,203
16384,0.68,102,207
16384,0.69,101,211
16384,0.7,100,215
16384,0.71,100,219
16384,0.72,99,224
16384,0.73,98,229
16384,0.74,97,234
16384,0.75,97,240
16384,0.76,96,246
16384,0.77,95,253
16384,0.78,94,262
16384,0.79,94,267
16384,0.8,93,273
16384,0.81,92,281
16384,0.82,91,290
16384,0.83,90,299
16384,0.84,89,306
16384,0.85,89,316
16384,0.86,88,327
16384,0.87,87,339
16384,0.88,86,354
16384,0.89,85,370
16384,0.9,84,387
16384,0.91,83,408
16384,0.92,82,426
16384,0.93,80,453
16384,0.94,79,479
16384,0.95,77,506
16384,0.96,76,550
16384,0.97,73,592
16384,0.98,71,691
16384,0.99,67,958
65536,0.35,240,252
65536,0.36,234,259
65536,0.37,232,271
65536,0.38,229,277
65536,0.39,228,281
65536,0.4,225,288
65536,0.41,223,291
65536,0.42,221,293
65536,0.43,219,297
65536,0.44,218,305
65536,0.45,217,308
65536,0.46,216,315
65536,0.47,215,319
65536,0.48,213,321
65536,0.49,212,323
65536,0.5,211,330
65536,0.51,210,339
65536,0.52,209,344
65536,0.53,208,349
65536,0.54,207,356
65536,0.55,206,361
65536,0.56,205,371
65536,0.57,203,383
65536,0.58,202,388
65536,0.59,202,398
65536,0.6,201,402
65536,0.61,200,417
65536,0.62,199,428
65536,0.63,198,441
65536,0.64,197,457
65536,0.65,196,468
65536,0.66,195,473
65536,0.67,194,488
65536,0.68,193,495
65536,0.69,192,505
65536,0.7,191,513
65536,0.71,190,523
65536,0.72,189,530
65536,0.73,188,537
65536,0.74,187,553
65536,0.75,186,568
65536,0.76,185,589
65536,0.77,184,606
65536,0.78,183,616
65536,0.79,182,624
65536,0.8,181,632
65536,0.81,180,651
65536,0.82,179,672
65536,0.83,177,688
65536,0.84,176,698
65536,0.85,175,718
65536,0.86,174,752
65536,0.87,172,776
65536,0.88,170,787
65536,0.89,169,817
65536,0.9,167,837
65536,0.91,166,856
65536,0.92,164,912
65536,0.93,162,983
65536,0.94,159,1025
65536,0.95,157,1106
65536,0.96,154,1178
65536,0.97,150,1298
65536,0.98,145,1423
65536,0.99,138,1457
32768,0.43,186,192
32768,0.44,179,199
32768,0.45,176,201
32768,0.46,172,207
32768,0.47,170,211
32768,0.48,168,214
32768,0.49,167,218
32768,0.5,165,221
32768,0.51,163,225
32768,0.52,162,229
32768,0.53,161,233
32768,0.54,160,238
32768,0.55,159,243
32768,0.56,157,248
32768,0.57,156,255
32768,0.58,155,258
32768,0.59,154,263
32768,0.6,153,269
32768,0.61,152,276
32768,0.62,151,280
32768,0.63,150,286
32768,0.64,149,292
32768,0.65,148,298
32768,0.66,147,303
32768,0.67,146,311
32768,0.68,145,316
32768,0.69,144,324
32768,0.7,143,333
32768,0.71,143,341
32768,0.72,142,349
32768,0.73,141,356
32768,0.74,140,365
32768,0.75,139,371
32768,0.76,138,379
32768,0.77,137,386
32768,0.78,136,394
32768,0.79,135,403
32768,0.8,134,416
32768,0.81,133,429
32768,0.82,132,442
32768,0.83,131,459
32768,0.84,130,472
32768,0.85,128,490
32768,0.86,127,503
32768,0.87,126,514
32768,0.88,125,541
32768,0.89,124,558
32768,0.9,122,583
32768,0.91,121,626
32768,0.92,119,645
32768,0.93,117,680
32768,0.94,115,721
32768,0.95,113,760
32768,0.96,111,816
32768,0.97,108,877
32768,0.98,104,1005
32768,0.99,98,1191
131072,0.27,326,327
131072,0.28,323,328
131072,0.29,319,343
131072,0.3,316,349
131072,0.31,308,371
131072,0.32,300,373
131072,0.33,293,379
131072,0.34,291,381
131072,0.35,287,403
131072,0.36,284,407
131072,0.37,282,436
131072,0.38,282,436
131072,0.39,280,438
131072,0.4,278,441
131072,0.41,277,452
131072,0.42,276,464
131072,0.43,275,473
131072,0.44,274,514
131072,0.45,273,521
131072,0.46,273,526
131072,0.47,272,535
131072,0.48,270,562
131072,0.49,268,570
131072,0.5,267,596
131072,0.51,267,606
131072,0.52,266,614
131072,0.53,265,651
131072,0.54,264,686
131072,0.55,262,699
131072,0.56,261,699
131072,0.57,261,713
131072,0.58,261,747
131072,0.59,259,773
131072,0.6,258,805
131072,0.61,257,813
131072,0.62,257,826
131072,0.63,256,825
131072,0.64,254,833
131072,0.65,253,852
131072,0.66,252,866
131072,0.67,251,866
131072,0.68,250,870
131072,0.69,248,880
131072,0.7,246,908
131072,0.71,245,912
131072,0.72,244,921
131072,0.73,243,930
131072,0.74,243,941
131072,0.75,242,952
131072,0.76,239,956
131072,0.77,238,979
131072,0.78,237,983
131072,0.79,234,991
131072,0.8,233,1006
131072,0.81,230,1009
131072,0.82,229,1055
131072,0.83,228,1084
131072,0.84,225,1091
131072,0.85,225,1119
131072,0.86,223,1196
131072,0.87,222,1205
131072,0.88,221,1205
131072,0.89,220,1235
131072,0.9,217,1284
131072,0.91,215,1289
131072,0.92,212,1329
131072,0.93,210,1427
131072,0.94,207,1520
131072,0.95,204,1825
131072,0.96,199,1862
131072,0.97,194,2182
131072,0.98,188,2195
131072,0.99,185,2349
